value,method,pooling_level,time_unit,resistance_threshold,dpval,sampling_intensity,time_in_days,true_value,delay_in_days,method_name
21,gisp,monthly,month,0.16,30,5,660,95.0,565.0,Culture
20,gisp,monthly,month,0.16,30,10,630,95.0,535.0,Culture
16,gisp,monthly,month,0.16,30,20,510,95.0,415.0,Culture
13,gisp,monthly,month,0.16,30,40,420,95.0,325.0,Culture
10,gisp,monthly,month,0.16,30,80,330,95.0,235.0,Culture
16,gisp,monthly,month,0.17,30,25,510,122.0,388.0,Culture
8,naats,monthly,month,0.17,30,0.05,270,122.0,148.0,NAAT remnants
7,naats,monthly,month,0.17,30,0.1,240,122.0,118.0,NAAT remnants
6,naats,monthly,month,0.17,30,0.2,210,122.0,88.0,NAAT remnants
6,naats,monthly,month,0.17,30,0.4,210,122.0,88.0,NAAT remnants
6,naats,monthly,month,0.17,30,0.8,210,122.0,88.0,NAAT remnants
21,gisp,monthly,month,0.17,30,5,660,122.0,538.0,Culture
20,gisp,monthly,month,0.17,30,10,630,122.0,508.0,Culture
16,gisp,monthly,month,0.17,30,20,510,122.0,388.0,Culture
13,gisp,monthly,month,0.17,30,40,420,122.0,298.0,Culture
11,gisp,monthly,month,0.17,30,80,360,122.0,238.0,Culture
16,gisp,monthly,month,0.18,30,25,510,148.0,362.0,Culture
9,naats,monthly,month,0.18,30,0.05,300,148.0,152.0,NAAT remnants
8,naats,monthly,month,0.18,30,0.1,270,148.0,122.0,NAAT remnants
7,naats,monthly,month,0.18,30,0.2,240,148.0,92.0,NAAT remnants
7,naats,monthly,month,0.18,30,0.4,240,148.0,92.0,NAAT remnants
6,naats,monthly,month,0.18,30,0.8,210,148.0,62.0,NAAT remnants
21,gisp,monthly,month,0.18,30,5,660,148.0,512.0,Culture
20,gisp,monthly,month,0.18,30,10,630,148.0,482.0,Culture
16,gisp,monthly,month,0.18,30,20,510,148.0,362.0,Culture
15,gisp,monthly,month,0.18,30,40,480,148.0,332.0,Culture
12,gisp,monthly,month,0.18,30,80,390,148.0,242.0,Culture
16,gisp,monthly,month,0.19,30,25,510,173.0,337.0,Culture
10,naats,monthly,month,0.19,30,0.05,330,173.0,157.0,NAAT remnants
9,naats,monthly,month,0.19,30,0.1,300,173.0,127.0,NAAT remnants
8,naats,monthly,month,0.19,30,0.2,270,173.0,97.0,NAAT remnants
8,naats,monthly,month,0.19,30,0.4,270,173.0,97.0,NAAT remnants
7,naats,monthly,month,0.19,30,0.8,240,173.0,67.0,NAAT remnants
21,gisp,monthly,month,0.19,30,5,660,173.0,487.0,Culture
20,gisp,monthly,month,0.19,30,10,630,173.0,457.0,Culture
16,gisp,monthly,month,0.19,30,20,510,173.0,337.0,Culture
15,gisp,monthly,month,0.19,30,40,480,173.0,307.0,Culture
13,gisp,monthly,month,0.19,30,80,420,173.0,247.0,Culture
16,gisp,monthly,month,0.2,30,25,510,196.0,314.0,Culture
10,naats,monthly,month,0.2,30,0.05,330,196.0,134.0,NAAT remnants
9,naats,monthly,month,0.2,30,0.1,300,196.0,104.0,NAAT remnants
